int | a | t2
int | acc | t121
int | arr1 | t77
float | arr2 | t81
int | arr3 | t85
float | arr4 | t89
float | b | t4
char | c | t6
int | cnt | t73
bool | d | t8
int | d1 | t136
int | d2 | t138
bool | e | t10
int | elem | t94
string | f | t12
float | ff | t149
float | fi | t145
int | g | t14
float | h | t16
char | i | t18
int | idx | t123
int | ii | t147
bool | j | t20
string | k | t22
int | m | t24
float | n | t27
string | o | t30
string | p | t37
Ponto | p1 | t98
Pessoa | pes | t109
int | px | t102
int | py | t104
int | q | t41
int | r | t44
int | res | t115
float | s | t48
string | s1 | t61
string | s2 | t63
string | s3 | t65
string | s4 | t71
int | soma_coords | t108
bool | t | t52
bool | u | t55
int | v | t59
